Ankle,Abdomen,Wrist,Weight
21.9,85.2,17.1,69.97
23.4,83,18.2,78.59
24,87.9,16.6,69.85
22.8,86.4,18.2,83.8
24,100,17.7,83.58
25.6,94.4,18.8,95.37
22.9,90.7,17.7,82.1
23.2,88.5,18.8,79.83
23.8,82.5,18.2,86.64
25,88.6,19.2,89.93
25.2,83.6,18.5,84.48
25.9,90.9,19,97.98
21.5,91.6,17.7,81.87
23.7,101.8,18.8,93.1
23.1,96.4,18.2,85.16
21.7,92.8,16.9,73.82
23.1,96.4,17.3,88.79
24.4,97.5,19.3,94.92
22.9,89.6,18.5,83.35
24,100.5,18.2,96.05
22.1,95.9,18.4,81.19
24.6,98.8,19.9,90.95
22.2,76.4,16.7,63.62
22.1,80,17.1,67.47
22.9,76.3,17.6,68.61
22.5,79.7,17.7,72.24
21.4,74.6,16.5,59.65
21,88.7,17,67.13
21.3,73.9,17.2,60.44
22.6,83.5,17.6,72.92
33.9,88.7,18.4,82.55
21.5,84.5,17.9,72.69
24.5,79.1,18.8,76.2
25.2,100.5,18.7,99.11
26.3,115.6,19.7,112.15
21.9,113.1,17,86.98
22.6,100.9,19,91.74
24.7,98.8,19.4,89.25
29.6,148.1,21.4,164.72
24.7,108.1,18.3,92.08
26.6,126.2,21.4,119.18
23.7,104.3,17.4,92.99
25,111.2,18.4,98.43
23,104.3,18.8,96.16
21,76,16.1,56.81
23.4,81.5,18.3,74.5
22.5,73.7,17.3,60.56
21.9,79.5,17.9,67.36
20.6,83.4,16.3,61.58
21.9,70.4,16.8,57.83
22.4,86.7,17.3,71.78
21,77.9,17.2,63.16
21.4,82,16.9,62.26
22.6,79.6,18.5,69.29
22.5,77.6,18.5,61.8
22,100,18.9,89.81
22.5,99.8,18.5,82.33
22.7,104.2,19.2,91.29
22.5,105.3,18.2,91.85
22.9,98.3,18.5,81.53
23.1,104.8,20.2,97.98
22.1,94.7,18.3,81.08
23.6,102.4,19.1,87.66
22.7,99.7,18.8,80.74
24.7,105.5,18.4,93.21
22.7,100.3,18.7,83.24
21.7,83.9,17.4,68.72
21.5,86.6,18.7,70.19
22.4,78.4,18.1,70.42
21.6,84.6,17.3,71.1
22.4,91.5,18.6,75.98
21.6,82.8,18.3,66.57
23.1,82.9,18.2,72.92
19.1,76,16.9,56.7
20.9,83.3,16.8,64.86
21.4,81.8,18.3,67.25
24.2,78.8,18.1,73.71
21.8,95,18.8,80.63
21.5,95.4,18.3,73.14
22.7,98.6,19,77.68
23.7,95.8,19,74.28
22,89,17.7,68.15
23,97.8,19,86.3
24.1,94.9,19.2,77.45
22,99.8,18,76.2
33.7,89.7,18.2,75.75
21.8,88.1,18.8,71.55
23.3,90.9,18.1,72.58
23.8,86,18.8,80.17
24.4,86.5,18.7,79.83
22.5,95.6,17.7,80.29
23.1,93.2,18.8,81.53
22.1,83.1,18.4,74.96
24.5,97.5,19.1,87.32
24.6,88.8,17.8,83.58
23.2,99.2,20.4,101.83
22.9,91.6,18.5,85.62
23.3,86.7,18.2,73.71
21.9,88.2,18.2,70.99
22.3,94,18.3,89.36
22.3,95,18.6,90.04
22.4,92,17,78.81
23.2,89.2,18.4,78.36
25.4,95.5,19.7,89.25
22,98.6,17.7,80.29
24.8,87.3,18.8,75.07
23.5,102.8,18.1,90.83
23.4,101.6,19.1,92.19
24.8,88.7,19.2,88
22.8,92.3,17.3,76.43
22.3,90.6,18.1,77.45
23.6,105,17.4,83.12
23.9,95,19.8,80.85
21.9,89.6,17.4,73.94
21.8,92.4,17.5,79.49
22.1,86.6,17.3,71.67
22.8,90,18.1,80.4
23.3,90,19.5,81.19
24.8,92.4,18.5,86.64
24.5,87.5,18,85.05
24.6,99.2,19.5,93.67
23.2,98.1,18.4,84.03
22.6,83.3,17.6,72.69
22.1,86.1,17.6,68.72
23.5,84.1,18,73.03
21.9,89.9,17.6,75.75
22.2,92.1,17.2,80.51
20.8,78,17.4,69.06
21.8,93.5,18.1,87.2
22.2,87,17.7,74.96
23.2,90.1,17.6,77.91
23,90.3,17.1,77.68
22.6,99.8,17.9,89.36
20.5,89.4,17.3,71.21
23,87.2,18.1,76.32
22.7,101.1,17.6,84.37
22.4,86.1,17.1,75.64
23.8,98.6,17.7,85.16
22.5,88.5,17.6,76.32
24.5,106.6,18.7,96.5
21.6,93.1,16.6,80.17
22,93,17.8,78.59
22.3,91,17.9,75.75
22.7,77.1,18.2,72.46
23.2,85.3,18.3,85.34
22,81.9,17.3,70.76
25.2,99.1,18.7,94.57
24.6,100.5,18.4,93.67
22,76.5,16.9,65.2
24.7,106.8,18.4,101.15
20.4,77.6,17.8,69.06
25.1,102.9,19.6,109.66
23.8,72.8,17.4,66.23
22.8,88.2,17.9,71.1
24.9,100.1,19.4,90.83
21.7,83.5,17.7,77.79
25.2,105,19.1,93.33
25,90.8,18.6,82.78
21.8,76.6,16.9,61.92
24.6,92.4,18.2,80.4
21,81.2,16.5,68.61
25,95.6,19.1,88.91
23.5,92.1,19.7,83.58
20.4,83.4,16.5,63.5
23.4,106,18.5,99.22
25.6,95.1,19.4,98.43
21.9,90.4,17.7,75.41
24.6,100.4,19.8,101.95
24,115.9,18.8,103.53
23.4,90.8,17.4,78.36
22.1,81.9,17.7,69.06
22,75,16.9,57.04
22.4,90.3,17.7,80.4
21.5,90.3,17.8,79.95
24,108.8,20.1,102.85
22.2,79.4,16.9,65.88
22,83.2,16.7,68.49
24.8,110.3,18.4,109.43
24.7,92.7,18.1,84.94
25.8,104.5,19.9,106.48
24.1,104.6,19,99.45
20.2,69.4,16.5,53.75
21.8,83.6,17.2,66.11
22.7,86.8,17.4,72.24
22.4,90.4,17.7,77.34
22.6,83.7,18.2,75.98
24.7,109.3,20,105.57
23.5,98.9,19.1,95.48
24.8,98,18.8,91.74
22.9,101.2,18.5,83.92
21.8,80.6,17.9,69.4
25.5,113.7,19.9,110.79
24.7,94.1,18.7,87.77
26,105.7,18.5,101.95
22.4,85.6,17.1,73.82
24.1,96.6,18.8,81.65
24,86,17.4,70.87
22.3,89.7,16.9,76.2
22.5,78,18.5,75.86
24.1,89.7,18.8,77.45
23.8,89.2,18.6,80.85
22,85.7,17.4,68.04
23.7,103.1,18.7,90.95
24,89.1,18.4,83.46
21.8,113.9,17.4,101.15
24.1,96.3,19.4,94.69
21.4,93.9,17.3,75.3
23.3,101.3,18.4,88.45
22.5,83.9,17.7,72.8
22.6,84.4,17.6,72.46
21.7,79.4,17.4,63.73
23.2,104,18.9,98.09
23,89.7,18.6,76.32
25.5,97.6,19,88.34
21.8,87.6,18,78.36
23.6,122.1,18.4,99.34
21.5,81.1,17.8,67.7
22.6,81.5,18.6,70.08
22.9,100,19.2,90.38
22,88.7,17.1,70.08
23.9,91.8,18.9,69.51
27,110.4,19.6,104.33
23.4,87.6,17.8,73.37
22.5,82.8,17,64.52
21.8,95.3,19.2,81.53
19.7,78.2,15.8,57.38
22.6,91.1,18.8,76.88
23.4,96.7,18.4,90.04
22.5,89.4,18.8,79.15
23.2,93,19,76.09
21.3,86.4,16.9,67.02
22.8,96.7,19,82.67
23.6,88.1,18,79.61
21,94.9,17.6,73.37
21,93.3,18.3,71.55
22.7,95.6,18.3,76.54
23,98.2,19,86.86
22.3,113.8,18.5,99.41
22.3,82.8,18.3,70.42
24,100.5,19.1,86.07
20.1,79.7,16.5,57.83
23.4,118,19.4,101.83
24.6,109,19.5,106.26
25.4,113.4,19.5,103.31
24.1,106.1,18.5,90.49
22.6,84.3,18.5,70.53
22.6,107.6,18.8,97.75
21.5,83.6,18.5,60.9
23.2,105,20.1,91.17
21.5,111.5,18,84.71
22.7,101.3,19.8,86.52
24.6,108.5,20.9,94.12
19.7,62.8,15,49.4424
22,68,15.8,60.7824
20.1,71,14.4,63.0504
20,63.5,14.5,53.0712
21,65,14.8,59.4216
22.5,76.8,17.4,68.04
22.8,81,17,76.2048
21.5,65,15,56.2464
21,67.2,15.4,54.8856
21,80,16.5,73.0296
22.5,74,17,71.6688
19,63.5,14.8,44.4528
21,70,15.5,67.5864
20,66.4,15.6,53.9784
21,64.5,14.5,51.7104
21,66,14.5,52.6176
22,72,16.5,61.6896
20,73,15.5,63.9576
22,71,15.5,62.5968
20,68.5,14.5,58.968
20.3,67.2,16,50.3496
21.5,77,15.3,62.1432
21.5,63.2,14.8,48.5352
22,73,16.5,70.308
20.2,65.5,14.5,50.8032
24.5,70,15.5,63.504
20.2,65.2,14.5,52.164
20,64.5,15,50.3496
21.5,70.1,15.5,60.7824
23.5,70.3,16.2,59.4216
20.5,67.2,14.6,54.8856
21,68.5,16.5,58.5144
21,73.2,15,64.8648
22.3,73.2,15.8,62.5968
20.5,63,14.5,53.9784
22,68,15.5,66.6792
21.5,75.5,15.6,68.9472
21.4,66.5,15,53.5248
24.5,70.3,16.7,58.5144
24,68.3,16.2,64.8648
22.5,69.5,15.5,63.0504
23,66,16.3,59.8752
23.5,84.3,18.4,77.112
19.5,58,14,43.5456
21,64.5,14.5,49.4424
20.5,65.3,15.5,65.772
21,61.5,15.5,50.8032
23,72.3,16.7,67.5864
21,72,15.5,61.6896
22,74,17.5,67.5864
21,65,14.5,59.4216
18,60.2,13.5,44.4528
21.5,69.3,15,56.2464
24,77.2,17,68.4936
22.5,67,15,66.2256
21.5,70.3,16,62.1432
22,75,16,62.1432
22.5,71.2,16.5,65.3184
22.5,80.1,18,68.4936
21.5,69.2,14.5,58.0608
20.5,77.5,16,68.9472
20.3,67.5,16,55.3392
21.2,68,15.8,61.6896
21.3,67.6,15.5,55.7928
21.5,75,16.3,63.9576
19.8,66.2,15.3,59.8752
21.7,66.4,16.5,61.6896
22.2,84.5,16.1,76.6584
25,76,17.5,75.2976
23,66,15.5,57.6072
21.5,65,15,59.4216
20.3,70.2,16,59.8752
22.4,87,16,74.3904
22.3,72,16.5,65.772
22.5,67.3,16.3,57.1536
21,72.5,16.8,58.968
24,73.5,16.5,68.04
21.4,67.5,15.8,65.3184
19,65,15.5,51.7104
22.2,70,15.5,63.9576
25,75,17.5,70.7616
21.5,69.2,15.4,61.6896
21.5,78.2,16,66.2256
24.5,73.5,17.5,74.3904
20.5,70,16.5,65.772
20,63,15,47.628
21,66,16.4,57.1536
21,64,16,53.9784
18.8,61.5,13.5,47.628
22.5,75.2,16,70.308
20.5,80,16,72.1224
21.4,63.5,15,50.8032
20.5,68,15.5,57.6072
20.5,67.5,15.5,59.8752
21.5,65,14.5,57.6072
22.5,76,16.3,69.8544
21.5,61,16,54.8856
20.5,70,16,60.7824
20.5,62.3,15,49.896
20,63,15,49.896
22.5,68,15.5,59.8752
20.3,63.5,16.3,52.6176
21.3,73,16.3,64.4112
21.5,96,17.3,74.844
21,79,15,69.4008
25,77,17.5,77.112
22.7,71,16.5,64.4112
21.5,83.5,16.5,74.3904
20,67,14.5,52.6176
21.7,64,15.5,54.8856
21,62.5,15,54.8856
21.5,71.3,16.5,68.4936
20.5,62.7,14.5,50.3496
20,72,15.2,63.9576
21,68,16.5,60.3288
19.5,65.5,14,54.432
20.3,62,15.2,53.5248
21,69.2,14,49.4424
22.3,66,15.3,59.8752
23,72.5,15.5,62.5968
20,65,15.3,56.2464
22.5,75,17,64.4112
21.3,70,16,57.6072
21.5,71,15,56.7
20.5,71,16.2,59.8752
20,63,14.3,48.5352
22.5,67,16,65.3184
21,69,16,62.5968
21,77,16,69.8544
21,71,16,57.6072
23,77,15,75.7512
19.5,66,14.7,49.4424
20,70,15,59.8752
22.5,70,15.5,59.4216
21.5,61,16,52.164
21.5,69,15.5,64.8648
22.5,85,16,75.2976
21.7,66.5,16.5,62.1432
21.7,65,15,56.2464
23,94,16.7,73.9368
20,64.5,14.5,48.9888
21,66,15,64.8648
21,71,15,56.7
23,69,16,58.0608
23,64.5,15.5,58.968
20.5,64,15,56.2464
20,66,15.5,58.0608
20.5,62,15,54.8856
21.5,73,16.3,76.6584
21.3,63.5,15,58.5144
24.5,90,19,86.184
22.7,74,17.5,65.3184
20,64,14,48.0816
22.5,77,17.3,64.4112
19.5,58.5,14.5,42.1848
20,60,13.7,48.9888
20.3,67,15,53.0712
19,63,15,48.5352
23,68,16,59.4216
20.3,65,15,50.3496
21,66,15.3,55.3392
20,69.5,15.3,58.0608
21,63,15.5,54.432
19,62.3,15,53.5248
24.3,80,17.5,73.0296
20.3,72,16.5,64.8648
20,61,14.7,48.5352
20.7,65,15,56.2464
23.3,84.5,16.7,74.844
22.3,72.5,16.3,76.6584
20.5,64,15,48.9888
21.5,65,16.3,57.6072
21.7,66.3,15.3,57.6072
20.5,68,16,57.6072
20,70,16,57.1536
21,75.5,16,67.1328
20.3,67.5,15.5,55.7928
20,76,15.5,61.236
21,70,14.5,59.8752
21,71,16.3,59.8752
20,62.5,15.5,48.5352
19.5,61.5,15,51.7104
19.5,64,15,50.8032
19,63,14,47.628
